date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,vol
2010-08-06,19.59,20.1601,19.52,20.1,741900,19.59,20.1601,19.52,20.1,741900,0.0,1.0,0
2010-08-09,19.6,19.98,19.45,19.9,812700,19.6,19.98,19.45,19.9,812700,0.0,1.0,0
2010-08-10,19.03,19.65,18.82,19.65,1281300,19.03,19.65,18.82,19.65,1281300,0.0,1.0,1
2010-08-11,17.9,18.88,17.85,18.69,797600,17.9,18.88,17.85,18.69,797600,0.0,1.0,1
2010-08-12,17.6,17.9,17.39,17.8,691000,17.6,17.9,17.39,17.8,691000,0.0,1.0,0
2010-08-13,18.32,18.45,17.6604,18.18,634000,18.32,18.45,17.6604,18.18,634000,0.0,1.0,0
2010-08-16,18.78,18.8,18.2616,18.45,485800,18.78,18.8,18.2616,18.45,485800,0.0,1.0,0
2010-08-17,19.15,19.4,18.78,18.96,447900,19.15,19.4,18.78,18.96,447900,0.0,1.0,0
2010-08-18,18.77,19.59,18.6,19.59,601300,18.77,19.59,18.6,19.59,601300,0.0,1.0,1
2010-08-19,18.79,19.25,18.33,18.54,579100,18.79,19.25,18.33,18.54,579100,0.0,1.0,0
2010-08-20,19.1,19.11,18.5101,18.65,296000,19.1,19.11,18.5101,18.65,296000,0.0,1.0,0
2010-08-23,20.13,20.3891,19.0,19.09,1088100,20.13,20.3891,19.0,19.09,1088100,0.0,1.0,1
2010-08-24,19.2,19.71,18.95,19.25,673100,19.2,19.71,18.95,19.25,673100,0.0,1.0,0
2010-08-25,19.9,19.98,18.56,19.16,503300,19.9,19.98,18.56,19.16,503300,0.0,1.0,1
2010-08-26,19.75,20.27,19.6,19.89,433800,19.75,20.27,19.6,19.89,433800,0.0,1.0,0
2010-08-27,19.7,19.865,19.5,19.75,379600,19.7,19.865,19.5,19.75,379600,0.0,1.0,0
2010-08-30,19.87,20.19,19.61,19.7,732800,19.87,20.19,19.61,19.7,732800,0.0,1.0,0
2010-08-31,19.48,19.79,19.33,19.66,201100,19.48,19.79,19.33,19.66,201100,0.0,1.0,0
2010-09-01,20.45,20.69,19.6,19.62,494900,20.45,20.69,19.6,19.62,494900,0.0,1.0,1
2010-09-02,21.06,21.24,20.3103,20.37,487100,21.06,21.24,20.3103,20.37,487100,0.0,1.0,1
2010-09-03,21.05,21.3,20.66,20.87,434600,21.05,21.3,20.66,20.87,434600,0.0,1.0,0
2010-09-07,20.54,21.0,20.5,20.61,243400,20.54,21.0,20.5,20.61,243400,0.0,1.0,0
2010-09-08,20.9,20.95,20.6,20.66,288400,20.9,20.95,20.6,20.66,288400,0.0,1.0,0
2010-09-09,20.71,21.05,20.69,21.0,376200,20.71,21.05,20.69,21.0,376200,0.0,1.0,0
2010-09-10,20.17,20.93,19.76,20.75,386600,20.17,20.93,19.76,20.75,386600,0.0,1.0,0
2010-09-13,20.72,20.8995,20.5,20.89,360800,20.72,20.8995,20.5,20.89,360800,0.0,1.0,0
2010-09-14,21.12,21.6,20.53,20.54,654700,21.12,21.6,20.53,20.54,654700,0.0,1.0,0
2010-09-15,21.98,22.0,20.79,20.98,684600,21.98,22.0,20.79,20.98,684600,0.0,1.0,1
